"Category","CDDB_ID","TrackNumber","TrackName","TrackSeconds","mm:ss","TrackOffset","Notes"
"blues","8309180a","3","Empty Arms","211","03:31","31242","S.R. Vaughan\n\nProduced by Stevie Ray Vaughan, Chris Layton, Tommy\n Shannon, Richard Mullen and Jim Capfer\nRecorded at the Power Station,NY 1/84-2/84\nEngineer: Richard Mullen\nAssistant Engineer: Rob Eaton"
"blues","8309180a","4","Little Wing","410","06:50","47072","J. Hendrix\n\nProduced by Stevie Ray Vaughan, Chris Layton, Tommy\n Shannon, Richard Mullen and Jim Capfer\nRecorded at the Power Station,NY 1/84-2/84\nEngineer: Richard Mullen\nAssistant Engineer: Rob Eaton"
"blues","8309180a","5","Wham","147","02:27","77865","L. Mack\n\nProduced by Stevie Ray Vaughan, Chris Layton, Tommy\n Shannon, Richard Mullen and Jim Capfer\nRecorded at the Power Station,NY 1/84-2/84\nEngineer: Richard Mullen\nAssistant Engineer: Rob Eaton"
"blues","8309180a","6","May I Have A Talk With You","350","05:50","88915","C. Burnette (Howlin' Wolf)\n\nProduced by Stevie Ray Vaughan/Double Trouble\nand Richard Mullen\nRecorded at the Dallas Sound Lab, Dallas TX 3/85-5/85\nEngineer: RichardMullen\nAssistant Engineer: Ron Cote"
"blues","8309180a","7","Close To You","193","03:13","115235","W. Dixon\n\nProduced by Stevie Ray Vaughan, Chris Layton, Tommy\n Shannon, Richard Mullen and Jim Capfer\nRecorded at the Power Station,NY 1/84-2/84\nEngineer: Richard Mullen\nAssistant Engineer: Rob Eaton"
"blues","8309180a","8","Chitlins Con Carne","239","03:59","129777","K.Burrell\n\nProduced by Stevie Ray Vaughan/Double Trouble\nand RichardMullen\nRecorded at the Dallas Sound Lab, Dallas TX 3/85-5/85\nEngineer:RichardMullen\nAssistant Engineer: Ron Cote"
"blues","8309180a","9","So Excited","212","03:32","147722","S.R.Vaughan\n\nProduced by Stevie Ray Vaughan/Double Trouble\nand Richard Mullen\nRecorded at the Dallas Sound Lab, Dallas TX 3/85-5/85\nEngineer: RichardMullen\nAssistant Engineer: Ron Cote"
"blues","8309180a","10","Life By The Drop","147","02:27","163677","D. Bramhall, B. Logan\n\nProduced by Stevie Ray Vaughan and Jim Gaines\nRecorded at Sound Castle Studios, LA CA 4/89-5/89"
"blues","850a880b","1","I Shot The Sheriff","263","04:23","182",""
"blues","850a880b","2","After Midnight","188","03:08","19950",""
"blues","850a880b","3","Knockin' On Heaven's Door","261","04:21","34107",""
"blues","850a880b","4","Wonderful Tonight","219","03:39","53682",""
"blues","850a880b","5","Layla","426","07:06","70132",""
"blues","850a880b","6","Cocaine","214","03:34","102095",""
"blues","850a880b","7","Lay Down Sally","229","03:49","118195",""
"blues","850a880b","8","Willie And The Hand Jive","208","03:28","135407",""
"blues","850a880b","9","Promises","180","03:00","151040",""
"blues","850a880b","10","Swing Low Sweet Chariot","209","03:29","164565",""
"blues","850a880b","11","Let It Grow","294","04:54","180240",""
"blues","860b280b","1","Taxman","213","03:33","150",""
"blues","860b280b","2","Texas Flood","321","05:21","16195",""
"blues","860b280b","3","The House Is Rockin'","144","02:24","40342",""
"blues","860b280b","4","Pride and Joy","220","03:40","51170",""
"blues","860b280b","5","Tightrope","279","04:39","67702",""
"blues","860b280b","6","Little Wing","408","06:48","88647",""
"blues","860b280b","7","Crossfire","249","04:09","119310",""
"blues","860b280b","8","Change It","238","03:58","138050",""
"blues","860b280b","9","Cold Shot","240","04:00","155945",""
"blues","860b280b","10","Couldn't Stand The Weather","282","04:42","173990",""
"blues","860b280b","11","Life Without You","255","04:15","195162",""
"blues","88096509","1","In The Open","357","05:57","150",""
"blues","88096509","2","Slide Thing","198","03:18","26927",""
"blues","88096509","3","They Call Me Guitar Hurricane","186","03:06","41802",""
"blues","88096509","4","All Yor Love I Miss Loving","383","06:23","55817",""
"blues","88096509","5","Tin Pan Alley","460","07:40","84557",""
"blues","88096509","6","Love Struck Baby","176","02:56","119130",""
"blues","88096509","7","Tell Me","168","02:48","132362",""
"blues","88096509","8","Shake For Me","244","04:04","145020",""
"blues","88096509","9","Live Another Day","228","03:48","163370",""
"blues","8f0a2a0b","1","Cry Sky","316","05:16","150","Malford Milligan - Vocals\nKenny Wayne Shepherd - Guitar Solo\nCharlie Sexton - Electric and Acoustic Guitar\nReese Wynans - Organ, Piano\nTommy Shannon - Bass, Acoustic Guitar\nChris Layton - Drums, Percussion"
"blues","8f0a2a0b","2","Turn Towards The Mirror","265","04:25","23858","Charlie Sexton - Vocals, Organ, Piano\nDoyle Bramhall II - Vocals, Guitar\nTommy Shannon - Bass\nChris Layton - Drums"
"blues","8f0a2a0b","3","Say One Thing","245","04:05","43798","Doyle Bramhall II - Vocals, Guitar, Background Vocals\nMalford Miligan - Background Vocals\nTommy Shannon - Bass\nChris Layton - Drums"
"blues","8f0a2a0b","4","Rock And Roll","187","03:07","62223","Susan Tedeschi - Vocals\nKenny Wayne Shepherd - Guitar, Mando Guitar\nTommy Shannon - Bass\nChris Layton - Drums, Piano"
"blues","8f0a2a0b","5","Skyscraper","267","04:27","76315","Malford Milligan - Vocals\nDoyle Bramhall II - Guitar, Background Vocals\nCharlie Sexton - Piano, Guitar, 6-string Bass\nReese Wynans - Organ\nDenny Freeman - Wurlitzer\nTommy Taylor - Background Lead Vocals\nTommy Shannon - Bass\nChris Layton - Drums"
"blues","8f0a2a0b","6","In The Middle Of The Night","185","03:05","96398","Jimmie Vaughan - Vocals, Guitar\nLou Ann Barton - Vocals\nBill Willis -Organ\nTommy Shannon - Bass\nChris Layton - Drums"
"blues","8f0a2a0b","7","She's All Right","322","05:22","110303","Doyle Bramhall II - Vocals, Guitar\nTommy Shannon - Bass\nChris Layton - Drums"
"blues","8f0a2a0b","8","Groundhog Day","237","03:57","134485","Jonny Lang - Vocals\nGordie Johnson - Guitar\nDanny Freeman - Guitar\nCharlie Sexton - Organ\nMark Kazanoff - Sax\nTommy Shannon - Bass\nChris Layton - Drums, Piano, Percussion"
"blues","8f0a2a0b","9","In The Garden","223","03:43","152330","Susan Tedeschi - Vocals, Acoustic Guitar\nEric Johnson - Electric Guitar\nCharlie Sexton - Electric and Acoustic Guitar, 6-string Bass\nReese Wynans - Organ\nRiley Osbourn - Wurlitzer\nRavon Fuster - Background Vocals\nGreg Sain - Background Vocals\nTommy Shannon - Bass\nChris Layton - Drums"
"blues","8f0a2a0b","10","Baby, There's No One Like You","311","05:11","169078","Dr. John - Vocals, Piano\nWillie Nelson - Guitar Solo\nCharlie Sexton -Guitar\nDerek O'Brian - Guitar\nKaren Kohler - Background Vocals\nMarthaMerriel - Background Vocals\nYashika Vaughn - Background Vocals\nGloverGill - String Arrangement\nAimes Asbell - Strings\nLara Hick - Strings\nLeigh Mahony - Strings\nSara Nelson - Strings\nTommy Shannon - Bass\nChris Layton - Drums"
"blues","8f0a2a0b","11","Hidden Track","38","00:38","192428",""
"blues","90098f0a","1","Hard To Be","283","04:43","150",""
"blues","90098f0a","2","White Boots","230","03:50","21420",""
"blues","90098f0a","3","D/FW","172","02:52","38697",""
"blues","90098f0a","4","Good Texan","262","04:22","51635",""
"blues","90098f0a","5","Hillbillies From Outerspace","222","03:42","71307",""
"blues","90098f0a","6","Long Way From Home","195","03:15","88005",""
"blues","90098f0a","7","Tick Tock","297","04:57","102645",""
"blues","90098f0a","8","Telephone Song","208","03:28","124952",""
"blues","90098f0a","9","Baboom/Mama Said","269","04:29","140587",""
"blues","90098f0a","10","Brothers","304","05:04","160825",""
"blues","920d420c","1","Slow Ride","229","03:49","150",""
"blues","920d420c","2","True Lies","348","05:48","17372",""
"blues","920d420c","3","Blue On Black","330","05:30","43475",""
"blues","920d420c","4","Everything Is Broken","228","03:48","68270",""
"blues","920d420c","5","I Don't Live Today","274","04:34","85382",""
"blues","920d420c","6","(Long) Gone","324","05:24","105932",""
"blues","920d420c","7","Somehow. Somewhere. Someway","334","05:34","130282",""
"blues","920d420c","8","I Found Love (When I Found You)","241","04:01","155392",""
"blues","920d420c","9","King's Highway","257","04:17","173525",""
"blues","920d420c","10","Nothing To Do With Love","289","04:49","192865",""
"blues","920d420c","11","Chase The Rainbow","297","04:57","214582",""
"blues","920d420c","12","Trouble Is ...","237","03:57","236922",""
"blues","990ce30d","1","Scuttle Buttin'","112","01:52","150",""
"blues","990ce30d","2","Couldn't Stand The Weather","281","04:41","8575",""
"blues","990ce30d","3","The Things (That) I Used To Do","295","04:55","29665",""
"blues","990ce30d","4","Voodoo Chile (Slight Return)","479","07:59","51820",""
"blues","990ce30d","5","Cold Shot","241","04:01","87762",""
"blues","990ce30d","6","Tin Pan Alley","551","09:11","105870",""
"blues","990ce30d","7","Honey Bee","163","02:43","147245",""
"blues","990ce30d","8","Stang's Swang","175","02:55","159480",""
"blues","990ce30d","9","SRV Speaks","68","01:08","172620",""
"blues","990ce30d","10","Hide Away","244","04:04","177745",""
"blues","990ce30d","11","Look At Little Sister","166","02:46","196047",""
"blues","990ce30d","12","Give Me Back My Wig","247","04:07","208532",""
"blues","990ce30d","13","Come On (Part III)","273","04:33","227090",""
"blues","9e0e600c","1","Riding With The King","263","04:23","182",""
"blues","9e0e600c","2","Ten Long Years","280","04:40","19942",""
"blues","9e0e600c","3","Key To The Highway","219","03:39","40995",""
"blues","9e0e600c","4","Marry You","299","04:59","57492",""
"blues","9e0e600c","5","Three O'Clock Blues","516","08:36","79957",""
"blues","9e0e600c","6","Help The Poor","306","05:06","118710",""
"blues","9e0e600c","7","I Wanna Be","285","04:45","141682",""
"blues","9e0e600c","8","Worried Life Blues","265","04:25","163127",""
"blues","9e0e600c","9","Days Of Old","180","03:00","183055",""
"blues","9e0e600c","10","When My Heart Beats Like A Hammer","429","07:09","196575",""
"blues","9e0e600c","11","Hold On I'm Coming","380","06:20","228815",""
"blues","9e0e600c","12","Come Rain Or Come Shine","251","04:11","257320",""
"blues","9e11dc0b","1","Scuttle Buttin'","194","03:14","150",""
"blues","9e11dc0b","2","Say What?","284","04:44","14752",""
"blues","9e11dc0b","3","Ain't Gone 'N' Give Up On Love","384","06:24","36102",""
"blues","9e11dc0b","4","Pride And Joy","309","05:09","64940",""
"blues","9e11dc0b","5","Mary Had A Little Lamb","267","04:27","88177",""
"blues","9e11dc0b","6","Tin Pan Alley (aka Roughest Place In Town)","798","13:18","108215","With Albert King"
"blues","9e11dc0b","7","Voodoo Child (Slight Return)","650","10:50","168100",""
"blues","9e11dc0b","8","Texas Flood","457","07:37","216910",""
"blues","9e11dc0b","9","Life Without You","543","09:03","251185",""
"blues","9e11dc0b","10","Gone Home","233","03:53","291922",""
"blues","9e11dc0b","11","Couldn't Stand The Weather","448","07:28","309412",""
"blues","9f0c620c","1","Baby's Arms","175","02:55","182",""
"blues","9f0c620c","2","Already Gone","392","06:32","13367",""
"blues","9f0c620c","3","Anytime","326","05:26","42770",""
"blues","9f0c620c","4","Love Sickness","179","02:59","67230",""
"blues","9f0c620c","5","I'm Afraid","191","03:11","80690",""
"blues","9f0c620c","6","No One Special","287","04:47","95025",""
"blues","9f0c620c","7","Out Of Eden","559","09:19","116607",""
"blues","9f0c620c","8","Cry For Me Baby","186","03:06","158550",""
"blues","9f0c620c","9","Far Away","384","06:24","172525",""
"blues","9f0c620c","10","Renew Blues","62","01:02","201365",""
"blues","9f0c620c","11","Help Me Forget","258","04:18","206052",""
"blues","9f0c620c","12","The 12 Year Old Boy","165","02:45","225462",""
"blues","a20ef90b","1","Call It Stormy Monday","540","09:00","150",""
"blues","a20ef90b","2","Old Times","75","01:15","40677",""
"blues","a20ef90b","3","Pride And Joy","359","05:59","46347",""
"blues","a20ef90b","4","Ask Me No Questions","302","05:02","73292",""
"blues","a20ef90b","5","Pep Talk","52","00:52","95990",""
"blues","a20ef90b","6","Blues At Sunrise","910","15:10","99897",""
"blues","a20ef90b","7","Turn It Over","51","00:51","168190",""
"blues","a20ef90b","8","Overall Junction","500","08:20","172050",""
"blues","a20ef90b","9","Matchbox Blues","459","07:39","209595",""
"blues","a20ef90b","10","Who Is Stevie","44","00:44","244057",""
"blues","a20ef90b","11","Don't Lie To Me","536","08:56","247380",""
"blues","a409df0b","1","Alive","224","03:44","150",""
"blues","a409df0b","2","Be Mine","249","04:09","16952",""
"blues","a409df0b","3","Spank (feat. Kid Rock)","181","03:01","35627",""
"blues","a409df0b","4","Let Go","302","05:02","49225",""
"blues","a409df0b","5","Ain't Selling Out","195","03:15","71890",""
"blues","a409df0b","6","Believe (feat. Noah Hunt)","238","03:58","86552",""
"blues","a409df0b","7","The Place You're In","202","03:22","104457",""
"blues","a409df0b","8","Hey, What Do You Say","303","05:03","119637",""
"blues","a409df0b","9","Get It Together","228","03:48","142392",""
"blues","a409df0b","10","Burdens (feat. Noah Hunt)","219","03:39","159492",""
"blues","a409df0b","11","A Little Bit More (Instrumental)","183","03:03","175945",""
"blues","af0ba20e","1","When You Got A Good Friend","200","03:20","150",""
"blues","af0ba20e","2","Little Queen Of Spades","297","04:57","15182",""
"blues","af0ba20e","3","They're Red Hot","205","03:25","37527",""
"blues","af0ba20e","4","Me And The Devil Blues","176","02:56","52910",""
"blues","af0ba20e","5","Traveling Riverside Blues","271","04:31","66147",""
"blues","af0ba20e","6","Last Fair Deal Gone Down","155","02:35","86485",""
"blues","af0ba20e","7","Stop Breakin Down Blues","150","02:30","98150",""
"blues","af0ba20e","8","Milkcow's Calf Blues","198","03:18","109400",""
"blues","af0ba20e","9","Kind Hearted Woman Blues","246","04:06","124295",""
"blues","af0ba20e","10","Come On In My Kitchen","215","03:35","142815",""
"blues","af0ba20e","11","If I Had Possession Over Judgement Day","207","03:27","158960",""
"blues","af0ba20e","12","Love In Vain","242","04:02","174542",""
"blues","af0ba20e","13","32-20 Blues","178","02:58","192752",""
"blues","af0ba20e","14","Hell Hound On My Trail","231","03:51","206172",""
"blues","af0d700d","1","Say What!","323","05:23","150",""
"blues","af0d700d","2","Lookin' Out The Window","168","02:48","24442",""
"blues","af0d700d","3","Look At Little Sister","188","03:08","37100",""
"blues","af0d700d","4","Ain't Gone 'N' Give Up On Love","367","06:07","51262",""
"blues","af0d700d","5","Gone Home","187","03:07","78837",""
"blues","af0d700d","6","Change It","237","03:57","92920",""
"blues","af0d700d","7","You'll Be Mine","225","03:45","110750",""
"blues","af0d700d","8","Empty Arms","183","03:03","127695",""
"blues","af0d700d","9","Come On (Part III)","271","04:31","141485",""
"blues","af0d700d","10","Life Without You","268","04:28","161862",""
"blues","af0d700d","11","SRV Speaks","102","01:42","181972",""
"blues","af0d700d","12","Little Wing/Third Stone From The Sun","812","13:32","189622",""
"blues","af0d700d","13","Slip Slidin' Slim","101","01:41","250542",""
"blues","b90be00d","1","Road Runner","225","03:45","150",""
"blues","b90be00d","2","Shame, Shame, Shame","134","02:14","17057",""
"blues","b90be00d","3","Eyesight To The Blind","190","03:10","27172",""
"blues","b90be00d","4","Baby, Please Don't Go","203","03:23","41492",""
"blues","b90be00d","5","Never Loved A Girl","192","03:12","56777",""
"blues","b90be00d","6","Back Back Train","263","04:23","71192",""
"blues","b90be00d","7","You Gotta Move","330","05:30","90942",""
"blues","b90be00d","8","The Grind","226","03:46","115732",""
"blues","b90be00d","9","I'm Ready","255","04:15","132750",""
"blues","b90be00d","10","Temperature","171","02:51","151892",""
"blues","b90be00d","11","Stop Messin' Around","272","04:32","164730",""
"blues","b90be00d","12","Jesus Is On The Main Line","320","05:20","185147",""
"blues","b90be00d","13","(Data Track)","252","04:12","209197",""
"blues","ba11bb0e","1","Scuttle Buttin'","110","01:50","150",""
"blues","ba11bb0e","2","Couldn't Stand The Weather","282","04:42","8427",""
"blues","ba11bb0e","3","Empty Arms","209","03:29","29580",""
"blues","ba11bb0e","4","Little Wing/Third Stone From The Sun","676","11:16","45262",""
"blues","ba11bb0e","5","If You Have To Know","272","04:32","95980",""
"blues","ba11bb0e","6","These Blues Is Killing Me","188","03:08","116435",""
"blues","ba11bb0e","7","Boiler Maker","313","05:13","130555",""
"blues","ba11bb0e","8","Change It","237","03:57","154080",""
"blues","ba11bb0e","9","Shake 'N Bake","172","02:52","171920",""
"blues","ba11bb0e","10","Mary Had A Little Lamb","266","04:26","184855",""
"blues","ba11bb0e","11","I'm Leavin' You (Commit A Crime)","375","06:15","204867",""
"blues","ba11bb0e","12","Rude Mood/Pipeline","282","04:42","233032",""
"blues","ba11bb0e","13","The Sky Is Crying","439","07:19","254197",""
"blues","ba11bb0e","14","Voodo Chile (Slight Return)","711","11:51","287182",""
"blues","bb0e4c0c","1","Born With A Broken Heart","356","05:56","182",""
"blues","bb0e4c0c","2","Deja Voodoo","368","06:08","26887",""
"blues","bb0e4c0c","3","Aberdeen","255","04:15","54557",""
"blues","bb0e4c0c","4","Shame, Shame, Shame","366","06:06","73750",""
"blues","bb0e4c0c","5","One Foot On The Path","229","03:49","101202",""
"blues","bb0e4c0c","6","Everybody Gets The Blues","357","05:57","118447",""
"blues","bb0e4c0c","7","While We Cry (Live)","378","06:18","145272",""
"blues","bb0e4c0c","8","I'm Leaving You (Commit A Crime)","255","04:15","173640",""
"blues","bb0e4c0c","9","(Let Me Up) I've Had Enough","164","02:44","192830",""
"blues","bb0e4c0c","10","Riverside","225","03:45","205137",""
"blues","bb0e4c0c","11","What's Going Down","330","05:30","222070",""
"blues","bb0e4c0c","12","Ledbetter Heights","370","06:10","246847",""
"blues","bd0e6e0e","1","Intro","129","02:09","150",""
"blues","bd0e6e0e","2","Scuttle Buttin","163","02:43","9887",""
"blues","bd0e6e0e","3","Testifyin","320","05:20","22162",""
"blues","bd0e6e0e","4","Love Struck Baby","185","03:05","46210",""
"blues","bd0e6e0e","5","Honey Bee","185","03:05","60115",""
"blues","bd0e6e0e","6","Cold Shot","285","04:45","74010",""
"blues","bd0e6e0e","7","Letter To My Girlfriend","188","03:08","95397",""
"blues","bd0e6e0e","8","Dirty Pool","400","06:40","109537",""
"blues","bd0e6e0e","9","Pride And Joy","288","04:48","139587",""
"blues","bd0e6e0e","10","The Things That I Used To Do","326","05:26","161215",""
"blues","bd0e6e0e","11","C.O.D.","332","05:32","185687",""
"blues","bd0e6e0e","12","Iced Over","311","05:11","210650",""
"blues","bd0e6e0e","13","Lenny","434","07:14","233990",""
"blues","bd0e6e0e","14","Rude Mood","141","02:21","266560",""
"blues","c00f000e","1","Reptile","206","03:26","182",""
"blues","c00f000e","2","Got You On My Mind","270","04:30","15667",""
"blues","c00f000e","3","Travelin' Light","257","04:17","35922",""
"blues","c00f000e","4","Believe In Life","305","05:05","55200",""
"blues","c00f000e","5","Come Back Baby","235","03:55","78132",""
"blues","c00f000e","6","Broken Down","325","05:25","95770",""
"blues","c00f000e","7","Find Myself","315","05:15","120185",""
"blues","c00f000e","8","I Ain't Gonna Stand For It","289","04:49","143827",""
"blues","c00f000e","9","I Want A Little Girl","178","02:58","165555",""
"blues","c00f000e","10","Second Nature","288","04:48","178925",""
"blues","c00f000e","11","Don't Let Me Be Lonely Tonight","287","04:47","200542",""
"blues","c00f000e","12","Modern Girl","289","04:49","222140",""
"blues","c00f000e","13","Superman Inside","307","05:07","243820",""
"blues","c00f000e","14","Son & Sylvia","283","04:43","266872",""
"blues","c30ce80e","1","In 2 Deep","195","03:15","182",""
"blues","c30ce80e","2","Was","240","04:00","14810",""
"blues","c30ce80e","3","Them Changes","199","03:19","32822",""
"blues","c30ce80e","4","Last Goodbye","273","04:33","47757",""
"blues","c30ce80e","5","Shotgun Blues","289","04:49","68277",""
"blues","c30ce80e","6","Never Mind","238","03:58","89955",""
"blues","c30ce80e","7","You Should Know Better","252","04:12","107865",""
"blues","c30ce80e","8","Every Time It Rains","226","03:46","126820",""
"blues","c30ce80e","9","Oh Well","217","03:37","143802",""
"blues","c30ce80e","10","Wild Love","222","03:42","160080",""
"blues","c30ce80e","11","Losing Kind","271","04:31","176745",""
"blues","c30ce80e","12","Live On","275","04:35","197127",""
"blues","c30ce80e","13","Where Was I?","210","03:30","217797",""
"blues","c30ce80e","14","Electric Lullaby","192","03:12","233550",""
"blues","c611dd0e","1","Damn Right, I've Got The Blues","271","04:31","150",""
"blues","c611dd0e","2","Five Long Years","507","08:27","20537",""
"blues","c611dd0e","3","Mustang Sally","285","04:45","58592",""
"blues","c611dd0e","4","Rememberin' Stevie","419","06:59","80027",""
"blues","c611dd0e","5","She's A Superstar","303","05:03","111465",""
"blues","c611dd0e","6","Feels Like Rain","277","04:37","134212",""
"blues","c611dd0e","7","She's Nineteen Years Old","343","05:43","155042",""
"blues","c611dd0e","8","I Smell Trouble'","197","03:17","180840",""
"blues","c611dd0e","9","Someone Else Is Steppin' In (Slippin' Out, Slippin' In)'","264","04:24","195655",""
